left_split,right_split,similarity,left_qid,right_qid,left_question,right_question
train_final,test,0.9735823171651324,85445,114486,Đối tượng tham gia Hội thao giáo dục quốc phòng và an ninh trong trường trung học phổ thông cấp sở cần đáp ứng điều kiện gì?,Đối tượng tham gia Hội thao giáo dục quốc phòng và an ninh trong trường trung học phổ thông cấp trường cần đáp ứng điều kiện gì?
train_final,test,0.9766842973845336,135728,102295,Căn cứ đánh giá chất lượng dịch vụ sự nghiệp công đối với tiêu chí 2 gồm những nội dung nào?,Căn cứ đánh giá chất lượng dịch vụ sự nghiệp công đối với tiêu chí 6 gồm những nội dung nào?
train_final,test,0.9535422984756329,134356,80434,Việc trả cổ tức xác định như thế nào khi cổ đông chuyển nhượng cổ phần của mình giữa thời điểm kết thúc lập danh sách cổ đông và thời điểm trả cổ tức?,Khi cổ đông chuyển nhượng cổ phần của mình giữa thời điểm kết thúc lập danh sách cổ đông và thời điểm trả cổ tức thì ai là người nhận cổ tức?
train_final,test,0.9566642783796907,25409,16210,Hồ sơ đề nghị công nhận câu lạc bộ thể dục thể thao cơ sở gồm những gì?,Hồ sơ đề nghị công nhận câu lạc bộ thể dục thể thao cơ sở gồm những giấy tờ gì?
train_final,test,0.9546787361741919,166404,44483,"Quyền và nghĩa vụ của người bị tạm giữ, người bị tạm giam được pháp luật quy định như thế nào?","Quyền và nghĩa vụ của người bị tạm giữ, người bị tạm giam theo quy định pháp luật"
train_final,test,0.9706738543370266,155656,155654,Khi nào được cấp giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường trong sản xuất và lắp ráp xe cơ giới?,Cơ quan nào cấp giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường trong sản xuất và lắp ráp xe cơ giới?
train_final,test,0.9857584214769466,76348,65230,"Phổ biến, giáo dục pháp luật trong ngành Giao thông vận tải cho nhóm 3 bao gồm những nội dung gì?","Phổ biến, giáo dục pháp luật trong ngành Giao thông vận tải cho nhóm 2 bao gồm những nội dung gì?"
train_final,test,0.9502973597392039,17181,125410,Mẫu quyết định phân công bổ sung Điều tra viên tiến hành điều tra vụ án hình sự được sử dụng và quản lý theo nguyên tắc nào?,Mẫu quyết định phân công Điều tra viên tiến hành điều tra vụ án hình sự được quản lý và sử dụng theo nguyên tắc nào?
train_final,test,0.9836429483018059,61823,59266,"Những đối tượng nào phải sử dụng vắc xin, sinh phẩm y tế bắt buộc?","Đối tượng nào phải sử dụng vắc xin, sinh phẩm y tế bắt buộc?"
train_final,test,0.9524404625192985,15791,173370,Mức thu lệ phí môn bài của văn phòng đại diện là bao nhiêu?,Mức thu lệ phí môn bài đối với văn phòng đại diện là bao nhiêu?
train_final,test,0.9563460757922791,29261,69552,Việc phân cấp quản lý công chức viên chức trong đơn vị trực thuộc Bộ Khoa học và Công nghệ cần đảm bảo nguyên tắc gì?,Phân cấp quản lý công chức trong đơn vị trực thuộc Bộ Khoa học và Công nghệ cần đảm bảo nguyên tắc gì?
train_final,test,0.9610484815710552,5452,142118,Tiêu chí xếp loại chất lượng công chức ở mức hoàn thành tốt nhiệm vụ ra sao?,Tiêu chí xếp loại chất lượng công chức ở mức hoàn thành nhiệm vụ ra sao?
train_final,test,0.9773827126898907,158081,34008,Các cơ quan nào được thành lập tạp chí khoa học?,Cơ quan nào được thành lập tạp chí khoa học?
train_final,test,0.9831498040501607,150298,38682,Điều kiện chuyển nhượng quyền sử dụng đất là gì?,Điều kiện để chuyển nhượng quyền sử dụng đất là gì?
train_final,test,0.9864406341591707,50206,79426,Điều kiện đăng ký dự kiểm định chất lượng đầu vào công chức là gì?,Điều kiện được đăng ký dự kiểm định chất lượng đầu vào công chức là gì?
train_final,test,0.962107504538196,132325,164910,Cơ quan nào có thẩm quyền cấp đổi Giấy chứng nhận quyền sử dụng đất?,Cơ quan nào có thẩm quyền cấp giấy chứng nhận quyền sử dụng đất?
train_final,test,0.9618810075374661,109534,57285,Thông tư 24/2023/TT-BCA được chính thức áp dụng từ ngày nào?,Thông tư 24/2023/TT-BCA về đăng ký xe được chính thức áp dụng từ ngày nào?
train_final,test,0.9593337231558611,3157,62265,"Người học ngành kỹ thuật sửa chữa, lắp ráp máy tính phải có khả năng học tập, nâng cao trình độ như thế nào?","Người học ngành kỹ thuật sửa chữa, lắp ráp máy tính trình độ trung cấp phải có khả năng học tập, nâng cao trình độ như thế nào?"
train_final,test,0.9619796804779593,124617,219,Quyết định giải quyết khiếu nại lần đầu có những nội dung gì?,Quyết định giải quyết khiếu nại lần đầu có các nội dung gì?
train_final,test,0.974164842174203,21500,142954,"Thủ tục công nhận sử dụng thành thạo ngôn ngữ khác trong khám bệnh, chữa bệnh theo quy định pháp luật ra sao?","Thủ tục công nhận sử dụng thành thạo ngôn ngữ khác trong khám bệnh, chữa bệnh theo quy định pháp luật"
train_final,test,0.9763348155957298,132685,33475,"Chức trách, nhiệm vụ, tiêu chuẩn của ngạch kỹ thuật viên kiểm dịch động vật (mã số: 09.317) theo quy định của pháp luật hiện hành?","Chức trách, nhiệm vụ, tiêu chuẩn của ngạch kiểm dịch viên động vật (mã số: 09.315) theo quy định của pháp luật hiện hành?"
train_final,test,0.9640847325306919,128500,128499,Trình tự thủ tục nhập khẩu dây chuyền công nghệ đã qua sử dụng theo phương thức đơn giản hóa thủ tục nhập khẩu từ ngày 01/03/2023,Hồ sơ nhập khẩu dây chuyền công nghệ đã qua sử dụng theo phương thức đơn giản hóa thủ tục nhập khẩu từ ngày 01/03/2023
train_final,test,0.9713930438801003,10739,134745,Hệ thống thông gió và hệ thống chiếu sáng trong hầm đường bộ đô thị được quy định như thế nào?,Hệ thống thông gió và hệ thống chiếu sáng trong hầm đường bộ đô thị hiện nay được quy định như thế nào?
train_final,test,0.9508032874835532,106126,171701,"Chức vụ, chức danh của cán bộ xã được quy định như thế nào?","Chức vụ, chức danh của cán bộ công chức cấp xã được quy định như thế nào?"
train_final,test,0.9812369008289528,68333,118673,Viên chức Kỹ thuật y hạng 3 phải đáp ứng những tiêu chuẩn gì về năng lực chuyên môn nghiệp vụ?,Viên chức Kỹ thuật y hạng 4 phải đáp ứng những tiêu chuẩn gì về năng lực chuyên môn nghiệp vụ?
train_final,test,0.9853959763326919,156751,159310,Cục Thông tin cơ sở trực thuộc Bộ Thông tin và Truyền thông có tư cách pháp nhân không?,Cục Thông tin cơ sở trực thuộc Bộ Thông tin và Truyền thông có tư cách pháp nhân hay không?
train_final,test,0.9804092992730221,110505,5752,Xử lý hóa đơn có sai sót như thế nào?,Hóa đơn có sai sót được xử lý như thế nào?
train_final,test,0.9742119993428202,144388,154020,Khai báo hóa chất nhập khẩu thực hiện như thế nào?,Thực hiện khai báo hóa chất nhập khẩu như thế nào
train_final,test,0.9927704631952157,96902,96901,"Những trường hợp nào doanh nghiệp, hộ kinh doanh không bắt buộc sử dụng hóa đơn điện tử từ 01/7/2022?","Những trường hợp nào doanh nghiệp, hộ kinh doanh bắt buộc sử dụng hóa đơn điện tử từ 01/7/2022?"
train_final,test,0.9690725800431026,49753,27438,Cơ quan nào có thẩm quyền phê duyệt quy hoạch xây dựng vùng huyện?,Cơ quan nào có thẩm quyền phê duyệt quy hoạch xây dựng vùng liên huyện?
train_final,test,0.9531377066996858,51853,21396,Thời hạn giải quyết thủ tục chấp thuận cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ trong bao lâu?,Thời hạn giải quyết thủ tục cấp lại Giấy chấp thuận cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ trong bao lâu?
train_final,test,0.9679218644582497,98223,171548,Để thanh toán đối với hợp đồng trọn gói cần chuẩn bị những giấy tờ gì?,Hồ sơ thanh toán đối với hợp đồng trọn gói cần chuẩn bị những giấy tờ gì?
train_final,test,0.9531130581910799,111850,5360,Phẫu thuật Newmann sẽ không được thực hiện khi nào?,Phẫu thuật Newmann được chỉ định thực hiện khi nào?
train_final,test,0.9512919711281388,165606,165607,Nhà yến nằm trong khu dân cư thì được sử dụng loa phóng phát âm thanh để dẫn dụ chim yến không?,Chủ nhà yến nằm trong khu dân cư sử dụng loa phóng phát âm thanh để dẫn dụ chim yến thì bị xử phạt thế nào?
train_final,test,0.9573760116852925,138196,41283,Thu nhập chịu thuế thu nhập doanh nghiệp được xác định thế nào?,Thu nhập chịu thuế thu nhập doanh nghiệp được quy định thế nào?
train_final,test,0.9503970644085685,101063,106189,Quyền bầu cử trong Đảng được quy định như thế nào?,Bầu cử trong Đảng được quy định như thế nào?
train_final,test,0.9819803776128859,24558,111140,Phụ cấp đặc thù mà Phó giám thị Trại giam trong Quân đội được hưởng có dùng để tính đóng bảo hiểm y tế không?,Phụ cấp đặc thù mà Phó giám thị Trại tạm giam trong Quân đội được hưởng có dùng để tính đóng bảo hiểm y tế không?
train_final,test,0.9938471006305524,93573,67324,Chương trình môn học Giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng bao gồm những nội dung gì?,Chương trình môn học Giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng gồm những nội dung gì?
train_final,test,0.9800139284544482,12629,83051,Gói thầu trang thiết bị y tế nhóm 2 phải đáp ứng tiêu chí nào?,Gói thầu trang thiết bị y tế nhóm 1 phải đáp ứng tiêu chí nào?
train_final,test,0.9609450852603597,159606,69131,Giấy chứng nhận lưu hành thuốc thú y được gia hạn có giá trị trong thời hạn bao nhiêu năm?,Giấy chứng nhận lưu hành thuốc thú y có giá trị trong thời hạn bao nhiêu năm?
train_final,test,0.9680995406272983,64277,99987,Những việc nào công chức làm công tác hộ tịch cấp xã không được làm?,Những việc nào công chức làm công tác hộ tịch không được làm?
train_final,test,0.9806746654113051,58197,158858,Áp dụng biện pháp cưỡng chế cách ly y tế có được thực hiện trong trường hợp đối tượng thuộc diện phải áp dụng biện pháp cách ly y tế tại nhà không?,Áp dụng biện pháp cưỡng chế cách ly y tế có được thực hiện trong trường hợp đối tượng thuộc diện phải áp dụng biện pháp cách ly y tế tại cơ sở y tế không?
train_final,test,0.960954418086561,66515,110449,Chủ tịch Hội đồng phối hợp phổ biến giáo dục pháp luật ngành Bảo hiểm xã hội Việt Nam có nhiệm vụ và quyền hạn gì?,Phó Chủ tịch Hội đồng phối hợp phổ biến giáo dục pháp luật ngành Bảo hiểm xã hội Việt Nam có những nhiệm vụ và quyền hạn gì?
train_final,test,0.9542164239341769,12957,69690,"Kinh phí thực hiện bồi thường, hỗ trợ, tái định cư sẽ gồm những khoản nào?","Kinh phí bồi thường, hỗ trợ, tái định cư gồm có những khoản nào?"
train_final,test,0.9593359497538942,43556,173354,Kinh doanh dịch vụ lữ hành quốc tế thì có kinh doanh dịch vụ lữ hành nội địa được không?,Kinh doanh dịch vụ lữ hành quốc tế thì có được kinh doanh dịch vụ lữ hành nội địa nữa không?
train_final,test,0.9807164497254409,111141,24557,Phó giám thị Trại tạm giam trong Quân đội không được hưởng chế độ phụ cấp đặc thù trong những thời gian nào?,Phó giám thị Trại giam trong Quân đội không được hưởng chế độ phụ cấp đặc thù trong những thời gian nào?
train_final,test,0.9569716133640579,176061,103068,Hệ thống báo cáo tài chính năm áp dụng cho các doanh nghiệp nhỏ và vừa không đáp ứng giả định hoạt động liên tục có bắt buộc phải có Bản thuyết minh Báo cáo tài chính không?,Bản thuyết minh Báo cáo tài chính có bắt buộc phải có trong hệ thống báo cáo tài chính năm của doanh nghiệp nhỏ và vừa đáp ứng giả định hoạt động liên tục không?
train_final,test,0.9748590141884591,58116,55572,Hội viên của Hội Hữu nghị Việt Nam và Bê-la-rút thực hiện những nhiệm vụ gì?,Hội Hữu nghị Việt Nam và Bê-la-rút thực hiện những nhiệm vụ gì?
train_final,test,0.9623577707755114,132362,83175,Bồi dưỡng cán bộ trong các cơ quan nhà nước phải đảm bảo những nguyên tắc nào?,Bồi dưỡng cán bộ trong các cơ quan nhà nước phải đảm bảo các nguyên tắc nào?
train_final,test,0.9751631529223401,165631,133555,Những khoản chi nào không được trừ khi tính thuế thu nhập doanh nghiệp?,Những khoản chi phí nào không được trừ khi tính thuế thu nhập doanh nghiệp?
train_final,test,0.9693474349320035,14780,166060,Tài sản bị tịch thu là gì?,Tịch thu tài sản là gì?
train_final,test,0.9696823294383202,149413,48484,Quốc hội chấp thuận chủ trương đầu tư ra nước ngoài đối với các dự án đầu tư nào?,Quốc hội chấp thuận chủ trương đầu tư ra nước ngoài đối với các dự án nào?
train_final,test,0.9632164614493335,145870,7160,Mức chi thù lao tối đa đối với giảng viên nước ngoài được mời về trường tổ chức các khóa bồi dưỡng cán bộ công chức là bao nhiêu?,Mức chi thù lao tối đa đối với giảng viên trong nước được mời về trường tổ chức các khóa bồi dưỡng cán bộ công chức là bao nhiêu?
train_final,test,0.9556809834953462,40357,40356,"Hồ sơ đổi thẻ bảo hiểm y tế của sĩ quan, hạ sĩ quan nghiệp vụ đang công tác trong lực lượng Công an nhân dân bị rách cần những gì?","Thẻ bảo hiểm y tế của sĩ quan, hạ sĩ quan nghiệp vụ đang công tác trong lực lượng Công an nhân dân bị rách có được đổi thẻ không?"
train_final,test,0.97419805546381,32215,95205,Trình tự cấp Quyết định công nhận lưu hành giống cây trồng được quy định thế nào?,Trình tự cấp lại Quyết định công nhận lưu hành giống cây trồng được quy định thế nào?
train_final,test,0.9925679791284747,81321,28541,Trong thời gian tạm đình chỉ công việc người lao động có được tạm ứng tiền lương không?,Trong thời gian bị tạm đình chỉ công việc người lao động có được tạm ứng tiền lương không?
train_final,test,0.9823636326837311,35863,28541,Người lao động có được tạm ứng tiền lương trong thời gian bị tạm đình chỉ công việc hay không?,Trong thời gian bị tạm đình chỉ công việc người lao động có được tạm ứng tiền lương không?
train_final,test,0.9681379335250823,120758,55560,Tiêu chí xếp loại chất lượng công chức ở mức không hoàn thành nhiệm vụ được quy định ra sao?,Tiêu chí xếp loại chất lượng công chức ở mức không hoàn thành nhiệm vụ ra sao?
train_final,test,0.9714470098907487,59098,151608,Thân nhân của bà mẹ Việt Nam anh hùng có được hưởng chế độ ưu đãi gì không?,Thân nhân của Bà mẹ Việt Nam anh hùng có được hưởng ưu đãi gì không?
train_final,test,0.9733496061550555,46676,94469,Trung tâm Tần số vô tuyến điện khu vực 2 có được tham gia nghiên cứu xây dựng các văn bản quy định về quản lý tần số vô tuyến điện không?,Trung tâm Tần số vô tuyến điện khu vực 6 có quyền tham gia nghiên cứu xây dựng văn bản quy định về quản lý tần số vô tuyến điện không?
train_final,test,0.964206191175538,159950,82472,Hồ sơ cấp Giấy chứng nhận thành lập chi nhánh của cơ sở văn hóa nước ngoài tại Việt Nam gồm những giấy tờ gì?,Hồ sơ gia hạn Giấy chứng nhận thành lập chi nhánh của cơ sở văn hóa nước ngoài tại Việt Nam gồm những giấy tờ gì?
train_final,test,0.9651211542309733,100480,97721,"Hình thức đào tạo, bồi dưỡng của trường tổ chức chính trị do ai quản lý?","Hình thức đào tạo, bồi dưỡng của trường tổ chức chính trị - xã hội do ai quản lý?"
train_final,test,0.9739800937549636,3590,115289,Khu Quản lý đường bộ 1 có những tổ chức hành chính nào giúp Giám đốc Khu tổ chức quản lý về giao thông đường bộ?,Có những tổ chức hành chính nào giúp Giám đốc Khu Quản lý đường bộ 2 tổ chức quản lý về giao thông đường bộ?
train_final,test,0.9780249945700191,102803,122833,Các đối tượng nào phải nộp thuế thu nhập cá nhân?,Đối tượng nào phải nộp thuế thu nhập cá nhân?
train_final,test,0.9718767082983433,2671,70954,Nếu người lao động đang thử việc nghỉ việc không báo trước có được nhận tiền lương thử việc không?,Người lao động đang thử việc nghỉ việc không báo trước có được nhận tiền lương thử việc không?
train_final,test,0.9758098455584195,128582,37229,Sai số cho phép về chất lượng và kích cỡ đối với cà chua quả tươi dạng quả dài hạng I là bao nhiêu?,Sai số cho phép về chất lượng và kích cỡ đối với cà chua quả tươi dạng quả dài hạng II là bao nhiêu?
train_final,test,0.9518414569739747,14408,89232,"Sau khi tốt nghiệp ngành quản lý vận hành, sửa chữa đường dây và trạm biến áp có điện áp từ 110 kV trở xuống trình độ cao đẳng thì người học phải có được tối thiểu những kiến thức nào?","Người học ngành quản lý vận hành, sửa chữa đường dây và trạm biến áp có điện áp từ 110 kV trở xuống trình độ cao đẳng sau khi tốt nghiệp phải có được tối thiểu những kỹ năng nào?"
train_final,test,0.9701769392439633,33408,12840,Chức danh nghề nghiệp dân số viên hạng 3 được áp dụng hệ số lương nào?,Chức danh nghề nghiệp dân số viên hạng 4 được áp dụng hệ số lương nào?
train_final,test,0.9803475658402143,43441,103124,Phương tiện đo được thương nhân xuất nhập khẩu khí sử dụng để xác định lượng khí trong mua bán cần bảo đảm yêu cầu gì?,Phương tiện đo được thương nhân xuất khẩu khí sử dụng để xác định lượng khí trong mua bán cần bảo đảm yêu cầu gì?
train_final,test,0.9707911197434329,8105,44507,Nguyên tắc trích khấu hao tài sản cố định được quy định như thế nào?,Nguyên tắc trích khấu hao đối với tài sản cố định được quy định như thế nào?
train_final,test,0.9569236591078278,159813,57797,Người học ngành kỹ thuật xây dựng mỏ trình độ trung cấp phải có mức độ tự chủ và trách nhiệm như thế nào?,Người học ngành kỹ thuật xây dựng trình độ trung cấp phải có mức độ tự chủ và trách nhiệm như thế nào?
train_final,test,0.9519615982973112,15736,31621,Mức thuế suất thuế nhập khẩu ưu đãi linh kiện ô tô nhập khẩu mới theo Chương trình ưu đãi áp dụng từ khi nào?,Mức thuế suất thuế nhập khẩu ưu đãi linh kiện ô tô nhập khẩu mới theo Chương trình ưu đãi ra sao?
train_final,test,1.0,151412,112939,Thu phí điện tử không dừng là gì? Dán thẻ thu phí không dừng ở đâu?,Thu phí không dừng là gì? Dán thẻ thu phí điện tử không dừng ở đâu?
train_final,test,0.9559306162818613,165207,140838,Người học ngành thú y trình độ trung cấp phải có mức độ tự chủ và trách nhiệm như thế nào?,Người học ngành dịch vụ thú y trình độ trung cấp phải có mức độ tự chủ và trách nhiệm như thế nào?
train_final,test,0.974942205042643,45208,119565,Đối tượng nào chịu thuế giá trị gia tăng?,Đối tượng nào phải chịu thuế giá trị gia tăng?
train_final,test,0.984386690208381,108871,144302,Hạn tuổi cao nhất của Sĩ quan phục vụ tại ngũ có cấp bậc quân hàm Thiếu tá là bao nhiêu tuổi?,Hạn tuổi cao nhất của nữ sĩ quan phục vụ tại ngũ có cấp bậc quân hàm Thiếu tá là bao nhiêu tuổi?
train_final,test,0.9944568563762816,14012,98114,"Nghĩa vụ và quyền chăm sóc, nuôi dưỡng và quyền giáo dục con sau ly hôn được pháp luật quy định như thế nào?","Nghĩa vụ và quyền chăm sóc, nuôi dưỡng và quyền giáo dục con sau ly hôn được pháp luật quy định thế nào?"
train_final,test,0.9646135817397038,35452,85272,Giấy xác nhận tình trạng hôn nhân có thời hạn sử dụng trong bao lâu?,Giấy xác nhận tình trạng hôn nhân có thời hạn sử dụng trong bao nhiêu lâu?
train_final,test,0.965511684029698,122582,157702,Thời hạn bảo hiểm bắt buộc đối với người lao động thi công trên công trường được tính thế nào?,Thời hạn bảo hiểm bắt buộc đối với người lao động thi công trên công trường được tính từ khi nào?
train_final,test,0.9820674783261605,159460,2765,Đối tượng được xét cấp thẻ nhà báo?,Đối tượng nào được xét cấp thẻ nhà báo?
train_final,test,0.9527995877684895,171127,66608,Phát thanh viên hạng 1 chuyên ngành Thông tin và Truyền thông thực hiện những nhiệm vụ gì?,Viên chức phát thanh viên hạng 2 chuyên ngành Thông tin và Truyền thông thực hiện những nhiệm vụ gì?
train_final,test,0.9824662159203954,41839,140401,Hồ sơ tự công bố sản phẩm theo quy định mới nhất hiện nay gồm những gì?,Hồ sơ tự công bố sản phẩm theo quy định mới nhất hiện nay bao gồm những gì?
train_final,test,0.9866929692421559,16649,98314,Chủ tịch Hội đồng quản trị triệu tập họp Hội đồng quản trị trong trường hợp nào?,Chủ tịch Hội đồng quản trị triệu tập họp Hội đồng quản trị trong những trường hợp nào?
train_final,test,0.9705035240493449,95727,25031,Thành viên Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp bộ gồm những đối tượng nào?,Thành viên Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp tỉnh gồm những đối tượng nào?
train_final,test,0.9503891980349723,176091,162041,Người mang thai hộ vì mục đích nhân đạo cần được tư vấn về y tế những nội dung nào?,Người mang thai hộ vì mục đích nhân đạo cần được tư vấn những nội dung gì?
train_final,test,0.9571958107802303,146831,174194,Huân chương Chiến công hạng Nhất của Chủ tịch nước được tặng đột xuất cho tập thể thuộc Tổng cục Hải quan khi lập được những thành tích gì?,Huân chương Chiến công hạng Ba của Chủ tịch nước được tặng đột xuất cho tập thể thuộc Tổng cục Hải quan khi lập những thành tích gì?
train_final,test,0.9724238795915707,165771,104516,Lãnh đạo Trung tâm Tần số vô tuyến điện khu vực 7 gồm những ai?,Lãnh đạo Trung tâm Tần số vô tuyến điện khu vực 2 gồm có những ai?
train_final,test,0.9735156122700772,15967,21667,Hồ sơ đề nghị rút ngắn thời gian thử thách đối với người được tha tù trước thời hạn có điều kiện bao gồm những gì?,Hồ sơ đề nghị rút ngắn thời gian thử thách đối với người được tha tù trước thời hạn có điều kiện bao gồm những giấy tờ gì?
train_final,test,0.9728200450283825,87792,17963,Hồ sơ đăng ký doanh nghiệp đối với công ty TNHH hai thành viên trở lên,Hồ sơ đăng ký doanh nghiệp đối với công ty TNHH hai thành viên trở lên như thế nào?
train_final,test,0.9736166451013383,146282,10455,Giấy chứng nhận phần vốn góp phải bao gồm các nội dung nào?,Giấy chứng nhận phần vốn góp bao gồm các nội dung nào?
train_final,test,0.958752108522356,62877,131938,Viên chức được bổ nhiệm chức danh kiến trúc sư hạng 2 thực hiện các nhiệm vụ thế nào?,Viên chức được bổ nhiệm chức danh kiến trúc sư hạng 3 thực hiện nhiệm vụ nào?
train_final,test,0.9575358105566774,153245,88315,Sau khi tốt nghiệp ngành điện tử công nghiệp trình độ cao đẳng thì người học phải có được tối thiểu những kiến thức nào?,Sau khi tốt nghiệp ngành cơ điện tử trình độ cao đẳng người học phải có được tối thiểu những kiến thức nào?
train_final,test,0.9602949354591004,15860,174518,Viên chức không giữ chức vụ quản lý của Bộ Tư pháp bị xếp loại chất lượng ở mức không hoàn thành nhiệm vụ trong trường hợp nào?,Viên chức không giữ chức vụ quản lý bị xếp loại chất lượng ở mức không hoàn thành nhiệm vụ trong trường hợp nào?
train_final,test,0.9629485387158723,77809,168877,"Nhiệm vụ của Cục Xuất nhập khẩu trong việc quản lý nhà nước về xuất khẩu, nhập khẩu là gì?","Trong việc quản lý nhà nước về xuất khẩu, nhập khẩu thì Cục Xuất nhập khẩu có những nhiệm vụ nào?"
train_final,test,0.9525521489715325,61477,44986,Một điều ước quốc tế sẽ được tạm thời thi hành trước ngày có hiệu lực trong trường hợp nào?,Một phần của điều ước quốc tế sẽ được tạm thời thi hành trước ngày có hiệu lực trong trường hợp nào?
train_final,test,0.9794863030716915,15705,74623,Công ty cổ phần muốn chào bán trái phiếu chuyển đổi ra thị trường quốc tế cần đáp ứng điều kiện gì?,Công ty cổ phần muốn chào bán trái phiếu chuyển đổi ra thị trường quốc tế thì cần đáp ứng những điều kiện gì?
train_final,test,0.9872134880534493,4079,1524,"Hoạt động xuất khẩu, nhập khẩu văn hóa phẩm không nhằm mục đích kinh doanh","Hoạt động xuất khẩu, nhập khẩu văn hóa phẩm không nhằm mục đích kinh doanh là gì?"
train_final,test,0.9618810075374661,179410,57285,Thông tư 24/2023/TT-BCA được chính thức áp dụng từ ngày nào?,Thông tư 24/2023/TT-BCA về đăng ký xe được chính thức áp dụng từ ngày nào?
train_final,test,0.9624787145255723,43870,84774,Giấy phép xây dựng là gì? Giấy phép xây dựng có thời hạn là gì?,Giấy phép xây dựng là gì?
train_final,test,0.9772910872108467,51923,126787,Hồ sơ hưởng chế độ tai nạn lao động gồm những gì?,Hồ sơ hưởng chế độ tai nạn lao động bao gồm những gì?
