question_norm,count
điều kiện để được hưởng lương hưu là gì?,2
"người học ngành kỹ thuật máy lạnh và điều hòa không khí trình độ cao đẳng phải có khả năng học tập, nâng cao trình độ như thế nào?",2
"vợ, chồng đều đồng ý ly hôn nhưng lại chưa thỏa thuận được việc chia tài sản chung thì tòa án có chấp nhận yêu cầu công nhận thuận tình ly hôn không?",2
viện trưởng viện kiểm sát nhân dân cấp tỉnh do ai có thẩm quyền bổ nhiệm?,2
việc quy hoạch phát triển hệ thống cảng cạn gồm những nội dung nào?,2
lựa chọn nhà đầu tư thực hiện dự án đầu tư,2
nhà nước thu hồi đất không được bồi thường về đất trong những trường hợp nào?,2
thời hạn cấp giấy chứng nhận đủ điều kiện kinh doanh dịch vụ kế toán là bao lâu?,2
trách nhiệm của tổ chức tín dụng đối với thông tin khách hàng được quy định như thế nào?,2
quyền hạn của tạp chí công thương là gì?,2
những đối tượng nào sẽ không chịu thuế giá trị gia tăng?,2
giám đốc đại học quốc gia thành phố hồ chí minh có phải thành viên hội đồng đại học quốc gia không?,2
viên chức được bổ nhiệm chức danh kiến trúc sư hạng 3 có các nhiệm vụ thế nào?,2
thời hạn lập biên bản vi phạm hành chính được quy định như thế nào?,2
ai có quyền bổ nhiệm giám đốc đại học quốc gia thành phố hồ chí minh?,2
"căn cứ để giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất",2
"các nguồn lực thực hiện chính sách, chế độ ưu đãi người có công với cách mạng và thân nhân của người có công với cách mạng?",2
tiêu chuẩn tuyển chọn đi nghĩa vụ quân sự được quy định như thế nào?,2
"tài sản góp vốn của hợp tác xã, liên hiệp hợp tác xã được quy định như thế nào?",2
sở tư pháp thuộc ủy ban nhân dân cấp tỉnh có nhiệm vụ và quyền hạn gì trong công tác dõi tình hình thi hành pháp luật?,2
biên bản giao nhận người có hành vi vi phạm hành chính phải được lập thành bao nhiêu bản?,2
lao động nam muốn hưởng chế độ thai sản khi vợ sinh con cần chuẩn bị hồ sơ như thế nào?,2
giá trị pháp lý của chữ ký số có tương đương với giá trị của chữ ký trên văn bản được đóng dấu không?,2
hồ sơ đề nghị cấp lại chứng chỉ hành nghề xây dựng bao gồm những gì?,2
về hồ sơ nộp khi thực hiện thủ tục tách thửa đất,2
bộ kế hoạch và đầu tư có trách nhiệm gì trong việc quản lý giảng viên về đấu thầu?,2
quy chế chứng thực của tổ chức cung cấp dịch vụ chứng thực chữ ký số quốc gia do cơ quan nào ban hành?,2
thực hiện dân chủ trong công tác của cảnh sát môi trường nhằm mục đích gì?,2
không vi phạm giao thông thì cảnh sát giao thông có được dừng xe để kiểm tra không?,2
hồ sơ đề nghị cấp giấy phép phân loại phim được quy định như thế nào?,2
sinh viên được miễn kiểm tra môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng khi thuộc trường hợp nào?,2
án treo được quy định trong luật hiện hành ra sao?,2
thời gian thẩm định hồ sơ lựa chọn nhà thầu được quy định thế nào?,2
văn phòng bộ văn hóa thể thao và du lịch có những chức danh lãnh đạo nào?,2
thời gian nhập học đại học năm 2023-2024 là khi nào?,2
hội bảo vệ quyền tác phẩm điện ảnh và phim truyền hình việt nam có những quyền hạn gì?,2
chủ sở hữu quyền tác giả là ai?,2
quy định về xử lý dữ liệu cá nhân của trẻ em áp dụng từ ngày nào?,2
ai có quyền quyết định việc đổi thẻ thanh tra kiểm toán nhà nước?,2
tài khoản định danh điện tử mức độ 2 của cá nhân người việt nam gồm có những thông tin gì theo quy định?,2
nhiệm vụ của công chức tư pháp hộ tịch cấp xã là gì?,2
doanh nghiệp không công bố nội dung đăng ký doanh nghiệp có bị xử phạt không?,2
mục tiêu tổng quát của chương trình làm quen với tiếng anh dành cho trẻ em mẫu giáo là gì?,2
giảm trừ gia cảnh là gì?,2
chương trình học lớp 10 năm học 2023-2024 như thế nào?,2
để được xếp loại chất lượng ở mức hoàn thành xuất sắc nhiệm vụ thì công chức không giữ chức vụ lãnh đạo cần đáp ứng những tiêu chí nào?,2
kỳ hạn người sử dụng lao động phải trả lương cho người lao động được quy định như thế nào?,2
hải đội trưởng dân quân thường trực thực hiện các nhiệm vụ gì?,2
khi nào đấu giá tài sản theo thủ tục rút gọn?,2
tổ chức kỷ niệm ngày thành lập vào năm tròn đối với cơ quan nhà nước cấp tỉnh được pháp luật quy định như thế nào?,2
xuất ngũ được hiểu như thế nào?,2
như thế nào là công ty cổ phần?,2
lao động chưa thành niên là gì?,2
quy trình bảo trì công trình đường bộ bao gồm những nội dung nào?,2
dự án ppp là gì?,2
người bị tai nạn giao thông có thuộc đối tượng được hưởng trợ cấp xã hội không?,2
muốn vay vốn ưu đãi để mua nhà ở xã hội phải đáp ứng các điều kiện nào?,2
trách nhiệm của cơ quan cấp giấy phép hoạt động điện lực như thế nào?,2
"sử dụng, quyết toán kinh phí tổ chức thực hiện bồi thường, hỗ trợ, tái định cư và cưỡng chế kiểm đếm như thế nào?",2
"tập hợp, xây dựng khối đại đoàn kết toàn dân tộc trong mặt trận tổ quốc việt nam theo nguyên tắc nào?",2
giám sát việc bảo đảm thực hiện quyền tiếp cận thông tin như thế nào?,2
mã số thuế cá nhân là gì?,2
các hành vi nào bị nghiêm cấm trong bảo hiểm y tế?,2
"hình thức, nội dung các vòng thi tuyển công chức như thế nào?",2
công ty trách nhiệm hữu hạn một thành viên có được phát hành trái phiếu hay không?,2
tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác,2
kinh phí hoạt động của hội đồng bầu cử quốc gia do ai bảo đảm?,2
"kinh doanh rượu có nồng độ cồn dưới 5,5 độ theo hình thức bán lẻ thì có bắt buộc phải có giấy phép kinh doanh rượu không?",2
phương án điều tra thống kê tiền tệ và ngân hàng của ngân hàng nhà nước ngoài chương trình điều tra thống kê quốc gia có phương án được quy định như thế nào?,2
trốn phạt nguội thì bị xử lý như thế nào?,2
hạn chót nộp lệ phí xét tuyển nguyện vọng là khi nào?,2
trình tự thủ tục cấp chứng thư xuất khẩu đối với hàng dệt may xuất khẩu sang mê-hi-cô theo hiệp định cptpp như thế nào?,2
cổ phiếu là gì?,2
"quản lý, vận hành mạng truyền số liệu chuyên dùng của các cơ quan đảng, nhà nước theo nguyên tắc nào?",2
mức chi hỗ trợ tiền ăn cho đại biểu là khách mời không có trong danh sách trả lương của cơ quan nhà nước là bao nhiêu?,2
thủ tục chấm phúc khảo bài thi tốt nghiệp thpt năm 2023 được hướng dẫn như thế nào?,2
nghĩa vụ của công ty luật nước ngoài hành nghề tại việt nam là gì?,2
việc ký ban hành văn bản hành chính được quy định thế nào?,2
"chủ tịch hội đồng quản lý liên ngành quỹ phòng, chống tác hại của thuốc lá có những nhiệm vụ và quyền hạn gì?",2
thanh niên hoàn thành nghĩa vụ công an có được hỗ trợ đào tạo nghề không?,2
thời gian học tập trong chương trình đào tạo của trường trung cấp nghề được quy ra đơn vị tín chỉ để làm gì và được quy đổi như thế nào?,2
không trả lương làm thêm giờ cho người lao động có bị phạt?,2
cơ sở giáo dục nghề nghiệp bao gồm những đơn vị nào?,2
cơ quan nào có thẩm quyền lập danh sách cử tri?,2
mỗi chứng chỉ giáo dục quốc phòng và an ninh cho sinh viên trường cao đẳng có bao nhiêu số hiệu riêng để theo dõi?,2
pháp nhân thương mại được quy định như thế nào?,2
nhiệm vụ của hội di sản văn hóa việt nam là gì?,2
các loại xe ô tô nào được miễn lệ phí trước bạ theo quy định hiện hành?,2
thẻ căn cước công dân có giá trị sử dụng như thế nào?,2
mua đất bằng giấy viết tay trong giai đoạn 1/7/2014 đến nay được quy định như thế nào?,2
hội kiến trúc sư việt nam có những quyền hạn nào?,2
số lượng thành viên ban thanh tra nhân dân ở doanh nghiệp nhà nước gồm bao nhiêu thành viên?,2
việc phòng ngừa tai nạn giao thông liên quan đến rượu bia được quy định như thế nào?,2
"việc lấy mô, bộ phận cơ thể ở người sau khi chết được thực hiện trong trường hợp nào?",2
thời hạn thanh tra lại là bao lâu?,2
chủ tịch hội đồng dân tộc thực hiện những nhiệm vụ và quyền hạn nào?,2
phải có thời gian công tác bao lâu mới đủ điều kiện được đảm nhiệm chức danh đội trưởng đội quản lý thị trường?,2
điều kiện của bất động sản đưa vào kinh doanh là gì?,2
thành viên ban thanh tra nhân dân ở phường gồm bao nhiêu thành viên?,2
"tác giả được xét tặng giải thưởng hồ chí minh phải có tác phẩm văn học, nghệ thuật đáp ứng các tiêu chuẩn gì?",2
đóng bảo hiểm bao lâu thì được hưởng trợ cấp thất nghiệp?,2
thương nhân nước ngoài hoạt động tại việt nam được quy định như thế nào?,2
nhiệm vụ của hội truyền thông số việt nam là gì?,2
người nhận nuôi con nuôi cần chuẩn bị hồ sơ như thế nào theo quy định của pháp luật?,2
quỹ hỗ trợ phụ nữ nông thôn việt nam có tư cách pháp nhân không?,2
"kết quả rà soát văn bản theo chuyên đề, lĩnh vực, địa bàn được pháp luật quy định như thế nào?",2
đăng ký hộ kinh doanh qua mạng thông tin điện tử là gì?,2
người khuyết tật được hưởng mức trợ cấp xã hội theo quy định hiện nay là bao nhiêu?,2
trình tự thực hiện thủ tục cấp lại chứng chỉ đăng kiểm viên xe cơ giới trường hợp hết thời hạn hiệu lực như thế nào?,2
tuổi đăng ký nghĩa vụ quân sự lần đầu là bao nhiêu tuổi?,2
ai có quyền quyết định chuyển đổi phòng công chứng?,2
báo cáo kết quả thanh tra hành chính trường bồi dưỡng cán bộ quản lý giáo dục tỉnh gồm những nội dung gì?,2
đấu giá tài sản cần tuân thủ nguyên tắc nào?,2
người có công giúp đỡ cách mạng được hưởng những chế độ ưu đãi nào?,2
danh mục thủ tục hành chính thực hiện tại bộ phận một cửa được công khai bằng những hình thức nào?,2
hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở thẩm định theo quy trình rút gọn đối với những hồ sơ nào?,2
cơ quan nhà nước tổ chức kỷ niệm ngày thành lập đảng cộng sản việt nam trong hội trường vào năm lẻ 5 được trang trí như thế nào?,2
