qid,question,relevant_cids,num_relevant,question_norm
55180,Diện tích sử dụng chung của đơn vị sự nghiệp công lập được quy định như thế nào?,"[67061, 21678]",2,diện tích sử dụng chung của đơn vị sự nghiệp công lập được quy định như thế nào?
167152,Hành vi nào bị nghiêm cấm trong hoạt động thanh tra?,[61561],1,hành vi nào bị nghiêm cấm trong hoạt động thanh tra?
127561,Hóa đơn điện tử là gì?,[40896],1,hóa đơn điện tử là gì?
72315,"Hình thức cung cấp, cập nhật thông tin cơ sở dữ liệu về hoạt động kinh doanh bảo hiểm ra sao?",[142499],1,"hình thức cung cấp, cập nhật thông tin cơ sở dữ liệu về hoạt động kinh doanh bảo hiểm ra sao?"
169891,Quy chế quản lý kiến trúc được lấy ý kiến theo hình thức nào?,[56731],1,quy chế quản lý kiến trúc được lấy ý kiến theo hình thức nào?
121455,Nhiệm vụ của Liên đoàn Thể dục Việt Nam được quy định thế nào?,[61608],1,nhiệm vụ của liên đoàn thể dục việt nam được quy định thế nào?
163290,Nhiệm vụ của Viện Chiến lược và Khoa học thanh tra là gì?,[102938],1,nhiệm vụ của viện chiến lược và khoa học thanh tra là gì?
172080,Thẻ cộng tác viên thanh tra giáo dục có giá trị bao lâu?,[87670],1,thẻ cộng tác viên thanh tra giáo dục có giá trị bao lâu?
141618,"Lệ phí cấp, cấp lại Giấy phép nhập khẩu sản phẩm an toàn thông tin mạng?",[19191],1,"lệ phí cấp, cấp lại giấy phép nhập khẩu sản phẩm an toàn thông tin mạng?"
72343,Nguyên tắc bồi thường thiệt hại được quy định như thế nào?,[58711],1,nguyên tắc bồi thường thiệt hại được quy định như thế nào?
140755,Hợp đồng ủy quyền là gì?,[58688],1,hợp đồng ủy quyền là gì?
3955,Cơ cấu tiền lương mới 2024 đối với lực lượng vũ trang khi cải cách tiền lương ra sao?,[62473],1,cơ cấu tiền lương mới 2024 đối với lực lượng vũ trang khi cải cách tiền lương ra sao?
27083,Nhiệm vụ của Hội Hỗ trợ khắc phục hậu quả bom mìn Việt Nam là gì?,[68633],1,nhiệm vụ của hội hỗ trợ khắc phục hậu quả bom mìn việt nam là gì?
156459,Thông tư 04/2023/TT-BTP được áp dụng từ ngày mấy?,[91617],1,thông tư 04/2023/tt-btp được áp dụng từ ngày mấy?
158784,Mức giảm trừ gia cảnh đối với người phụ thuộc là bao nhiêu?,[69649],1,mức giảm trừ gia cảnh đối với người phụ thuộc là bao nhiêu?
60963,Nguồn kinh phí để tăng lương hưu được lấy từ đâu?,[129765],1,nguồn kinh phí để tăng lương hưu được lấy từ đâu?
7700,Hồ sơ đăng ký thay đổi nội dung đăng ký hộ kinh doanh gồm những gì?,[70063],1,hồ sơ đăng ký thay đổi nội dung đăng ký hộ kinh doanh gồm những gì?
27861,Biện pháp đưa vào trường giáo dưỡng là gì?,[89725],1,biện pháp đưa vào trường giáo dưỡng là gì?
41678,"Các hành vi nào bị nghiêm cấm trong hoạt động tín ngưỡng, tôn giáo?",[2135],1,"các hành vi nào bị nghiêm cấm trong hoạt động tín ngưỡng, tôn giáo?"
112431,Thực hiện tiếp nhận yêu cầu cung cấp thông tin như thế nào?,[11710],1,thực hiện tiếp nhận yêu cầu cung cấp thông tin như thế nào?
10779,"Trình tự, thủ tục đăng ký tài khoản định danh điện tử mức độ 2 đối với công dân Việt Nam như thế nào?",[63247],1,"trình tự, thủ tục đăng ký tài khoản định danh điện tử mức độ 2 đối với công dân việt nam như thế nào?"
75670,Hồ sơ trình quyết định chấm dứt hiệu lực điều ước quốc tế bao gồm những gì?,"[145509, 146291]",2,hồ sơ trình quyết định chấm dứt hiệu lực điều ước quốc tế bao gồm những gì?
25092,Thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?,[65892],1,thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?
131193,Đối tượng tham gia Bảo hiểm xã hội bắt buộc gồm có những ai?,[34426],1,đối tượng tham gia bảo hiểm xã hội bắt buộc gồm có những ai?
161492,Hàng fake là gì theo quy định pháp luật?,[88126],1,hàng fake là gì theo quy định pháp luật?
156543,Các trường hợp nào không được hưởng bảo hiểm y tế?,[82428],1,các trường hợp nào không được hưởng bảo hiểm y tế?
139616,Thông tư 24/2023/TT-BCA về đăng ký xe được chính thức áp dụng từ ngày nào?,[63328],1,thông tư 24/2023/tt-bca về đăng ký xe được chính thức áp dụng từ ngày nào?
145541,Thế nào là dự án đầu tư?,[71304],1,thế nào là dự án đầu tư?
166947,Quỹ bình ổn giá xăng dầu được thực hiện như thế nào?,[92287],1,quỹ bình ổn giá xăng dầu được thực hiện như thế nào?
92897,Nhiệm vụ của Viện Chính sách và Chiến lược phát triển nông nghiệp nông thôn là gì?,[122042],1,nhiệm vụ của viện chính sách và chiến lược phát triển nông nghiệp nông thôn là gì?
156116,Đối tượng của hợp đồng bảo hiểm nhân thọ là gì?,[74674],1,đối tượng của hợp đồng bảo hiểm nhân thọ là gì?
63903,Trường hợp bên mua điện thực hiện kê khai không đúng số người sử dụng điện thì bên bán có quyền yêu cầu bồi thường không?,[116581],1,trường hợp bên mua điện thực hiện kê khai không đúng số người sử dụng điện thì bên bán có quyền yêu cầu bồi thường không?
76802,"Doanh nghiệp quản lý, thanh lý tài sản bị nghiêm cấm thực hiện những hành vi nào?",[31354],1,"doanh nghiệp quản lý, thanh lý tài sản bị nghiêm cấm thực hiện những hành vi nào?"
11114,Hồ sơ khi được tiếp nhận vào làm công chức bao gồm những gì?,[73869],1,hồ sơ khi được tiếp nhận vào làm công chức bao gồm những gì?
57061,Nhiệm vụ và quyền hạn của trung tâm giáo dục thường xuyên được pháp luật quy định như thế nào?,[72992],1,nhiệm vụ và quyền hạn của trung tâm giáo dục thường xuyên được pháp luật quy định như thế nào?
45551,Giấy phép sử dụng băng tần có thời hạn tối đa là bao nhiêu năm?,[43257],1,giấy phép sử dụng băng tần có thời hạn tối đa là bao nhiêu năm?
65670,Khi nào áp dụng Nghị định 33/2023/NĐ-CP về cán bộ công chức cấp xã?,[78739],1,khi nào áp dụng nghị định 33/2023/nđ-cp về cán bộ công chức cấp xã?
37235,Mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?,[29895],1,mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?
30785,Dụng cụ điện cầm tay truyền động bằng động cơ được bảo quản và vận chuyển như thế nào?,[84825],1,dụng cụ điện cầm tay truyền động bằng động cơ được bảo quản và vận chuyển như thế nào?
80951,"Thẩm quyền thành lập, cho phép thành lập cơ sở giáo dục nghề nghiệp thuộc về ai?",[90390],1,"thẩm quyền thành lập, cho phép thành lập cơ sở giáo dục nghề nghiệp thuộc về ai?"
55610,"Tổ chức tư vấn, dịch vụ quyền tác giả, quyền liên quan bị xóa tên trong trường hợp nào?",[81023],1,"tổ chức tư vấn, dịch vụ quyền tác giả, quyền liên quan bị xóa tên trong trường hợp nào?"
160119,Thông tư 32/2023/TT-BCA được áp dụng từ khi nào?,[63328],1,thông tư 32/2023/tt-bca được áp dụng từ khi nào?
178600,Chứng thực bản sao từ bản chính là gì?,[67895],1,chứng thực bản sao từ bản chính là gì?
113933,Tiền đấu giá biển số xe có bao gồm lệ phí đăng ký xe?,[189073],1,tiền đấu giá biển số xe có bao gồm lệ phí đăng ký xe?
129493,Viên chức là gì?,[49915],1,viên chức là gì?
123039,Thế nào là doanh nghiệp mất khả năng thanh toán?,[127305],1,thế nào là doanh nghiệp mất khả năng thanh toán?
174475,Việc thực hiện góp vốn và cấp giấy chứng nhận phần vốn góp trong công ty hợp danh quy định như thế nào?,[50657],1,việc thực hiện góp vốn và cấp giấy chứng nhận phần vốn góp trong công ty hợp danh quy định như thế nào?
133138,Việc sử dụng làn đường được quy định như thế nào?,[62215],1,việc sử dụng làn đường được quy định như thế nào?
54028,Giá dịch vụ điều hành giao thông vận tải đường sắt được điều chỉnh như thế nào?,[121999],1,giá dịch vụ điều hành giao thông vận tải đường sắt được điều chỉnh như thế nào?
31970,"Như thế nào là công ty mẹ, công ty con?",[50674],1,"như thế nào là công ty mẹ, công ty con?"
53892,Mức chi đối với chế độ bồi dưỡng khi tiếp công dân là bao nhiêu?,[67477],1,mức chi đối với chế độ bồi dưỡng khi tiếp công dân là bao nhiêu?
8353,Hạn chót xác nhận nhập học năm 2023 là khi nào?,"[66421, 66422]",2,hạn chót xác nhận nhập học năm 2023 là khi nào?
122756,Các bước thực hiện một cuộc đấu giá biển số xe ô tô như thế nào?,[67143],1,các bước thực hiện một cuộc đấu giá biển số xe ô tô như thế nào?
79556,Vụ Chính sách Thương mại Đa biên có những nhiệm vụ gì trong vấn đề hội nhập kinh tế ASEAN?,[86457],1,vụ chính sách thương mại đa biên có những nhiệm vụ gì trong vấn đề hội nhập kinh tế asean?
59038,Tiền đấu giá biển số xe có bao gồm lệ phí đăng ký xe?,[67144],1,tiền đấu giá biển số xe có bao gồm lệ phí đăng ký xe?
170179,Ai có quyền quyết định thành lập và tổ chức hội đồng tư vấn chuyên môn thẩm định hồ sơ đề nghị cấp giấy chứng nhận bị nhiễm HIV do tai nạn rủi ro nghề nghiệp?,[41972],1,ai có quyền quyết định thành lập và tổ chức hội đồng tư vấn chuyên môn thẩm định hồ sơ đề nghị cấp giấy chứng nhận bị nhiễm hiv do tai nạn rủi ro nghề nghiệp?
166809,Việc xử lý hành vi tham nhũng tiêu cực trong công tác cán bộ được quy định ra sao?,[103026],1,việc xử lý hành vi tham nhũng tiêu cực trong công tác cán bộ được quy định ra sao?
45888,Điểm tiềm ẩn tai nạn giao thông đường bộ tiến hành thị sát hiện trường lần đầu sau khi xác định và sơ bộ xếp hạng ưu tiên xử lý để làm gì?,[34165],1,điểm tiềm ẩn tai nạn giao thông đường bộ tiến hành thị sát hiện trường lần đầu sau khi xác định và sơ bộ xếp hạng ưu tiên xử lý để làm gì?
104708,Người sử dụng nhà chung cư phải đóng những khoản kinh phí nào?,[178741],1,người sử dụng nhà chung cư phải đóng những khoản kinh phí nào?
3987,Thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?,[65892],1,thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?
45540,Thành viên Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở phải đạt những tiêu chuẩn gì?,[63430],1,thành viên hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở phải đạt những tiêu chuẩn gì?
33045,Các hành vi nào thì bị nghiêm cấm khi tham gia bảo hiểm y tế?,[70561],1,các hành vi nào thì bị nghiêm cấm khi tham gia bảo hiểm y tế?
48785,Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở có chức năng gì?,[44942],1,hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở có chức năng gì?
57934,Trưng cầu giám định được tiến hành khi nào?,"[126361, 10683]",2,trưng cầu giám định được tiến hành khi nào?
22850,Bổ nhiệm CDNN giáo viên từ hạng cũ sang hạng mới có cần minh chứng không?,[84510],1,bổ nhiệm cdnn giáo viên từ hạng cũ sang hạng mới có cần minh chứng không?
153492,"Thuế TNCN đối với thu nhập từ chuyển nhượng bất động sản, thu nhập từ nhận thừa kế quà tặng là bất động sản là loại thuế khai theo từng lần phát sinh có phải không?",[81915],1,"thuế tncn đối với thu nhập từ chuyển nhượng bất động sản, thu nhập từ nhận thừa kế quà tặng là bất động sản là loại thuế khai theo từng lần phát sinh có phải không?"
44481,Việc tạm giam được quy định như thế nào?,[10596],1,việc tạm giam được quy định như thế nào?
71466,"Đối tượng học sinh, sinh viên nào sẽ được hỗ trợ vay vốn để mua máy tính học trực tuyến?",[73877],1,"đối tượng học sinh, sinh viên nào sẽ được hỗ trợ vay vốn để mua máy tính học trực tuyến?"
118815,Thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?,[65892],1,thương nhân kinh doanh dịch vụ xăng dầu có quyền và nghĩa vụ thế nào?
44556,Hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia thẩm định định kỳ các nghiên cứu đang triển khai trong khoảng thời gian nào?,[76907],1,hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia thẩm định định kỳ các nghiên cứu đang triển khai trong khoảng thời gian nào?
105072,Kinh doanh dịch vụ tư vấn du học cần đáp ứng những điều kiện nào?,[134112],1,kinh doanh dịch vụ tư vấn du học cần đáp ứng những điều kiện nào?
50105,Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở có chức năng gì?,[44942],1,hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở có chức năng gì?
27630,Hồ sơ đăng ký xe lần đầu gồm những gì?,[23068],1,hồ sơ đăng ký xe lần đầu gồm những gì?
62521,Mức trợ cấp xã hội hàng tháng như thế nào?,[29897],1,mức trợ cấp xã hội hàng tháng như thế nào?
21390,Mức phạt đối với hành vi không thông báo tạm ngừng kinh doanh hộ kinh doanh theo quy định là bao nhiêu?,[76315],1,mức phạt đối với hành vi không thông báo tạm ngừng kinh doanh hộ kinh doanh theo quy định là bao nhiêu?
134122,Hồ sơ và thủ tục đăng ký công ty đại chúng cần chuẩn bị những gì?,[48849],1,hồ sơ và thủ tục đăng ký công ty đại chúng cần chuẩn bị những gì?
41916,Thời hạn hợp đồng thuê đảm nhiệm chức danh lãnh đạo tổ chức khoa học và công nghệ công lập là bao lâu?,[108414],1,thời hạn hợp đồng thuê đảm nhiệm chức danh lãnh đạo tổ chức khoa học và công nghệ công lập là bao lâu?
39928,Như thế nào là công ty trách nhiệm hữu hạn một thành viên?,[50553],1,như thế nào là công ty trách nhiệm hữu hạn một thành viên?
50454,Các hành vi nào bị cấm trong hoạt động điện lực và sử dụng điện?,[80204],1,các hành vi nào bị cấm trong hoạt động điện lực và sử dụng điện?
17852,"Nhiệm vụ, quyền hạn của Cơ quan An ninh Điều tra quân khu và tương đương được quy định như thế nào?",[61165],1,"nhiệm vụ, quyền hạn của cơ quan an ninh điều tra quân khu và tương đương được quy định như thế nào?"
115347,Bảo hiểm xã hội là gì?,[68217],1,bảo hiểm xã hội là gì?
92451,Giải thể phân hiệu của trường đại học cần chuẩn bị những hồ sơ gì?,[165082],1,giải thể phân hiệu của trường đại học cần chuẩn bị những hồ sơ gì?
118814,Quỹ bình ổn giá xăng dầu được thực hiện như thế nào?,[65891],1,quỹ bình ổn giá xăng dầu được thực hiện như thế nào?
161617,Lập dự toán và quyết toán kinh phí hỗ trợ công tác cai nghiện tại cơ sở cai nghiện bắt buộc như thế nào?,[16192],1,lập dự toán và quyết toán kinh phí hỗ trợ công tác cai nghiện tại cơ sở cai nghiện bắt buộc như thế nào?
97367,Doanh nghiệp tư nhân là gì?,[50667],1,doanh nghiệp tư nhân là gì?
58462,Nghị định 31/2023/NĐ-CP có hiệu lực từ ngày nào?,[66111],1,nghị định 31/2023/nđ-cp có hiệu lực từ ngày nào?
18546,Thế nào là hóa đơn điện tử?,[40896],1,thế nào là hóa đơn điện tử?
29876,Nhiệm vụ của Trường Nghiệp vụ Kho bạc là gì?,[94911],1,nhiệm vụ của trường nghiệp vụ kho bạc là gì?
47434,Thông tư 24/2023/TT-BCA về đăng ký xe được chính thức áp dụng từ ngày nào?,[143],1,thông tư 24/2023/tt-bca về đăng ký xe được chính thức áp dụng từ ngày nào?
70418,Cảng vụ viên đường thủy nội địa hạng 1 thực hiện những nhiệm vụ gì?,[140347],1,cảng vụ viên đường thủy nội địa hạng 1 thực hiện những nhiệm vụ gì?
77057,Người lái xe khi tham gia giao thông cần đáp ứng những điều kiện gì?,[66252],1,người lái xe khi tham gia giao thông cần đáp ứng những điều kiện gì?
118878,Quyền hạn của Hội Kế toán địa chất Việt Nam là gì?,[63755],1,quyền hạn của hội kế toán địa chất việt nam là gì?
172785,Khi nào áp dụng quy định mới tại Nghị định 31/2023/NĐ-CP có hiệu lực?,[143],1,khi nào áp dụng quy định mới tại nghị định 31/2023/nđ-cp có hiệu lực?
23233,Hội đồng tuyển sinh của trường cao đẳng nghề có nhiệm vụ và quyền hạn gì?,[87445],1,hội đồng tuyển sinh của trường cao đẳng nghề có nhiệm vụ và quyền hạn gì?
55962,Hỗ trợ chi truy tìm đối tượng đang cai nghiện bỏ trốn trong trường hợp nào?,[124151],1,hỗ trợ chi truy tìm đối tượng đang cai nghiện bỏ trốn trong trường hợp nào?
171516,Cần chuẩn bị những giấy tờ gì để thực hiện thủ tục đề nghị cấp Giấy phép vận tải đường bộ quốc tế giữa Việt Nam và Lào?,[95585],1,cần chuẩn bị những giấy tờ gì để thực hiện thủ tục đề nghị cấp giấy phép vận tải đường bộ quốc tế giữa việt nam và lào?
34859,"Như thế nào là công ty mẹ, công ty con?",[50674],1,"như thế nào là công ty mẹ, công ty con?"
59230,Trang thông tin điện tử là gì?,[127800],1,trang thông tin điện tử là gì?
132215,Biên bản vi phạm hành chính gồm có những nội dung chủ yếu nào?,[85050],1,biên bản vi phạm hành chính gồm có những nội dung chủ yếu nào?
96388,Bảo hiểm y tế là gì?,[62015],1,bảo hiểm y tế là gì?
131149,Thống kê viên cao cấp có nhiệm vụ gì?,[208367],1,thống kê viên cao cấp có nhiệm vụ gì?
55152,Khi nào Nghị định 47/2023/NĐ-CP sửa đổi Nghị định về Luật đấu giá tài sản chính thức áp dụng?,[2473],1,khi nào nghị định 47/2023/nđ-cp sửa đổi nghị định về luật đấu giá tài sản chính thức áp dụng?
144990,Chương trình giáo dục phổ thông mới 2018 sẽ áp dụng cho học sinh lớp mấy trong năm học 2023-2024?,[66680],1,chương trình giáo dục phổ thông mới 2018 sẽ áp dụng cho học sinh lớp mấy trong năm học 2023-2024?
155228,Mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?,[29895],1,mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?
136901,Kinh phí thực hiện tinh giản biên chế được lấy từ những nguồn nào?,[76947],1,kinh phí thực hiện tinh giản biên chế được lấy từ những nguồn nào?
172144,Ai được cấp hộ chiếu phổ thông theo thủ tục rút gọn?,[83107],1,ai được cấp hộ chiếu phổ thông theo thủ tục rút gọn?
48305,Thẩm quyền xử phạt cá nhân vi phạm giao thông đường bộ trên địa bàn Thành phố Hồ Chí Minh thuộc về ai?,[76487],1,thẩm quyền xử phạt cá nhân vi phạm giao thông đường bộ trên địa bàn thành phố hồ chí minh thuộc về ai?
25392,Viên chức là gì?,[49915],1,viên chức là gì?
107014,Kết quả đánh giá xếp loại chất lượng công chức được xem là căn cứ để thực hiện những nội dung gì?,[58020],1,kết quả đánh giá xếp loại chất lượng công chức được xem là căn cứ để thực hiện những nội dung gì?
57169,Thông tư 31/2023/TT-BCA được áp dụng từ ngày nào?,[63328],1,thông tư 31/2023/tt-bca được áp dụng từ ngày nào?
96417,Nghĩa vụ của Lãnh sự danh dự được quy định như thế nào?,[97778],1,nghĩa vụ của lãnh sự danh dự được quy định như thế nào?
152770,Hình thức tuyển dụng công chức cấp xã thông qua thi tuyển áp dụng với chức danh nào?,[68388],1,hình thức tuyển dụng công chức cấp xã thông qua thi tuyển áp dụng với chức danh nào?
172132,Thời hạn bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới ra sao?,[131573],1,thời hạn bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới ra sao?
83015,"Trình tự, thủ tục đăng ký tài khoản định danh điện tử mức độ 2 đối với công dân Việt Nam như thế nào?",[63247],1,"trình tự, thủ tục đăng ký tài khoản định danh điện tử mức độ 2 đối với công dân việt nam như thế nào?"
89950,Giấy chứng nhận đăng ký đầu tư là gì?,[106080],1,giấy chứng nhận đăng ký đầu tư là gì?
63129,Hóa đơn điện tử là gì?,[40896],1,hóa đơn điện tử là gì?
119142,Cơ quan báo chí là gì?,[67129],1,cơ quan báo chí là gì?
121867,Phương thức đóng bảo hiểm y tế như thế nào?,[78200],1,phương thức đóng bảo hiểm y tế như thế nào?
104078,Thủ trưởng đơn vị chủ trì cuộc kiểm toán chỉ đạo Trưởng Đoàn kiểm toán tổ chức lập dự thảo Báo cáo kiểm toán theo trình tự nào?,[130637],1,thủ trưởng đơn vị chủ trì cuộc kiểm toán chỉ đạo trưởng đoàn kiểm toán tổ chức lập dự thảo báo cáo kiểm toán theo trình tự nào?
69615,Áp dụng xử phạt vi phạm giao thông trong phạm vi nào?,[4602],1,áp dụng xử phạt vi phạm giao thông trong phạm vi nào?
1865,Mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?,[29895],1,mức chuẩn trợ giúp xã hội hiện nay là bao nhiêu?
178620,Người lao động có những quyền gì theo quy định pháp luật hiện nay?,[72683],1,người lao động có những quyền gì theo quy định pháp luật hiện nay?
105276,"Đối tượng học sinh, sinh viên nào sẽ được hỗ trợ vay vốn để mua máy tính học trực tuyến?",[73877],1,"đối tượng học sinh, sinh viên nào sẽ được hỗ trợ vay vốn để mua máy tính học trực tuyến?"
93685,Di sản là gì? Quyền bình đẳng về thừa kế của cá nhân được quy định như thế nào?,"[58738, 58736]",2,di sản là gì? quyền bình đẳng về thừa kế của cá nhân được quy định như thế nào?
51177,Thời điểm có hiệu lực của việc chia tài sản chung trong thời kỳ hôn nhân là khi nào?,[47600],1,thời điểm có hiệu lực của việc chia tài sản chung trong thời kỳ hôn nhân là khi nào?
116588,"Thực hiện dân chủ trong công tác phòng cháy, chữa cháy và cứu nạn, cứu hộ phải đảm bảo các nguyên tắc nào?",[27675],1,"thực hiện dân chủ trong công tác phòng cháy, chữa cháy và cứu nạn, cứu hộ phải đảm bảo các nguyên tắc nào?"
114742,Thời gian xác nhận nhập học đại học trực tuyến 2023 theo chỉ đạo mới nhất của Bộ Giáo dục và Đào tạo?,[66422],1,thời gian xác nhận nhập học đại học trực tuyến 2023 theo chỉ đạo mới nhất của bộ giáo dục và đào tạo?
85949,Mức hưởng bảo hiểm xã hội một lần được tính như thế nào?,[14094],1,mức hưởng bảo hiểm xã hội một lần được tính như thế nào?
102088,Bảo hiểm thất nghiệp là gì?,[119362],1,bảo hiểm thất nghiệp là gì?
14514,Khi chạy xe khách tuyến cố định thì có cần phải trao vé cho khách không?,[77662],1,khi chạy xe khách tuyến cố định thì có cần phải trao vé cho khách không?
164839,Hồ sơ công bố đáp ứng tiêu chuẩn chế biến vị thuốc cổ truyền bao gồm những giấy tờ gì?,[37952],1,hồ sơ công bố đáp ứng tiêu chuẩn chế biến vị thuốc cổ truyền bao gồm những giấy tờ gì?
43305,Ai có quyền ban bố tình trạng khẩn cấp về dịch bệnh truyền nhiễm?,[109972],1,ai có quyền ban bố tình trạng khẩn cấp về dịch bệnh truyền nhiễm?
24540,Viên chức là ai?,[88936],1,viên chức là ai?
25077,Mức lương cơ sở hiện nay là bao nhiêu?,[40805],1,mức lương cơ sở hiện nay là bao nhiêu?
77291,Đối tượng nào bắt buộc tham gia bảo hiểm thất nghiệp?,[40470],1,đối tượng nào bắt buộc tham gia bảo hiểm thất nghiệp?
46765,Đối tượng nào được trợ cấp và miễn giảm học phí?,[113857],1,đối tượng nào được trợ cấp và miễn giảm học phí?
40799,Thông tư 04/2023/TT-BTP được áp dụng từ ngày mấy?,[91617],1,thông tư 04/2023/tt-btp được áp dụng từ ngày mấy?
131212,Quấy rối tình dục tại nơi làm việc là gì?,"[126856, 78456]",2,quấy rối tình dục tại nơi làm việc là gì?
121316,Trường hợp nào thì cần phải có người giám hộ?,[58173],1,trường hợp nào thì cần phải có người giám hộ?
66683,Không làm thủ tục sang tên xe máy bị xử phạt như thế nào?,[67684],1,không làm thủ tục sang tên xe máy bị xử phạt như thế nào?
82553,Viên chức là ai?,[49915],1,viên chức là ai?
93394,Việc xử lý hành vi tham nhũng tiêu cực trong công tác cán bộ được quy định ra sao?,[103026],1,việc xử lý hành vi tham nhũng tiêu cực trong công tác cán bộ được quy định ra sao?
120568,Hồ sơ đề nghị chấp thuận cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ được lập thành mấy bộ và bao gồm những giấy tờ gì?,[85395],1,hồ sơ đề nghị chấp thuận cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ được lập thành mấy bộ và bao gồm những giấy tờ gì?
139654,Thủ tục nhập học Đại học năm 2023 được thực hiện thế nào?,[63971],1,thủ tục nhập học đại học năm 2023 được thực hiện thế nào?
83653,Thời gian làm bài thi các môn là bao nhiêu phút?,[66888],1,thời gian làm bài thi các môn là bao nhiêu phút?
126579,Bảo hiểm y tế đối với trẻ em dưới 6 tuổi do ai đóng?,[65299],1,bảo hiểm y tế đối với trẻ em dưới 6 tuổi do ai đóng?
51349,Tết trung thu người lao động và học sinh có được nghỉ không?,"[62789, 62868]",2,tết trung thu người lao động và học sinh có được nghỉ không?
18513,"Ai có quyền phê duyệt chương trình, kế hoạch hội nhập kinh tế quốc tế của Bộ Xây dựng?",[82176],1,"ai có quyền phê duyệt chương trình, kế hoạch hội nhập kinh tế quốc tế của bộ xây dựng?"
108362,Khiếu nại thi hành án dân sự không được giải quyết trong trường hợp nào?,[43126],1,khiếu nại thi hành án dân sự không được giải quyết trong trường hợp nào?
53234,Điều kiện đối với quy mô chăn nuôi nông hộ,"[102423, 70447]",2,điều kiện đối với quy mô chăn nuôi nông hộ
110385,Thông tư 04/2023/TT-BTP được áp dụng từ ngày mấy?,[91617],1,thông tư 04/2023/tt-btp được áp dụng từ ngày mấy?
105085,Giấy phép xây dựng là gì?,[122120],1,giấy phép xây dựng là gì?
14682,Việc sử dụng làn đường được quy định như thế nào?,[62215],1,việc sử dụng làn đường được quy định như thế nào?
32527,Quỹ bình ổn giá xăng dầu được thực hiện như thế nào?,[92287],1,quỹ bình ổn giá xăng dầu được thực hiện như thế nào?
